time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
8.736,-0.7251365648288656,-0.21673097408971165,-7.365828230473715,-0.2790819390233365,0.04694162577726356,-5.900690910975317,-0.558163878046673,0.1779111184374036,-5.421864375630355,-0.06513654687900909,0.4143186441534354,-4.144335507610063,-0.4651365462057204,0.16621805543823426,-6.914337053447728,0.3418361565531355,1.0225242383663227,-9.81461526145378,0.0,-0.08513389794493889,2.722074632628338
8.738,-0.7357657292892789,-0.2317623471731161,-7.542662432265964,-0.28545944216595037,0.03461500128992453,-5.977696291151911,-0.5709188843319007,0.16635490644710674,-5.777963262011861,-0.07576575385291309,0.40584500952018693,-4.255193159550737,-0.47576576666320436,0.15196355498406613,-7.112190827078232,0.32908109166809935,1.0017424483657602,-10.051347474618785,0.0,-0.07936596846387924,3.081852315441117
8.74,-0.7444876797362585,-0.24723632361279463,-7.564592329686868,-0.2906925837851437,0.02223211130976431,-6.0438622372693604,-0.5813851675989031,0.15398129430976432,-6.1752194647104375,-0.08448765319410993,0.396568062020202,-4.518075358178451,-0.4844876587648742,0.1372639795117845,-7.511438286424243,0.31861480840109696,0.9808467716666667,-10.306007257067339,0.0,-0.07279708298316498,3.1043847593265994
8.742,-0.7512853637373063,-0.2626837811014769,-7.647141812980943,-0.29477120705959475,0.010258804232491663,-6.0538478155069075,-0.5895424150903457,0.14085273474416388,-6.350513217323964,-0.09128535380452919,0.3869139806069557,-4.71361965906384,-0.4912853454390942,0.12143221883420677,-7.799216498976656,0.31045756264028607,0.9599931797255836,-10.507620726086708,0.0,-0.0662308715135779,3.338718811828966
8.744,-0.7561417198015703,-0.2780128288161809,-7.671525289371208,-0.29768506100142755,-0.001622116730517549,-5.962679298214753,-0.5953701219743041,0.12743695797263535,-6.902266649173706,-0.09614174537330478,0.37733207936585367,-4.973740314023201,-0.49614175794503923,0.10533532514634146,-8.12690566229863,0.3046299131691649,0.9392963482236764,-10.493745644280786,0.0,-0.05933191298096371,3.58065171812671
8.746,-0.7590396385509497,-0.29294598780869874,-7.692844783305174,-0.2994237894502449,-0.013875237529692913,-6.033985367393117,-0.5988475779271294,0.11326986297203967,-7.1587868812676545,-0.09903964955094971,0.36737656710981004,-4.999635303910861,-0.4990396475775893,0.08887175656924363,-8.425354679854344,0.3011524288720583,0.9182383310535309,-10.542486753930099,0.0,-0.052439121986019833,3.6324870749481417
8.748,-0.7599718506773618,-0.3087058739095707,-7.709193327887755,-0.2999831280641711,-0.025793000085737743,-5.978869664593479,-0.5999662560998217,0.09789221966396905,-7.5123917038667605,-0.09997186167736186,0.3573819373189069,-5.034170388667605,-0.49997186064884136,0.07195313747619048,-8.602202057614122,0.30003377904456324,0.8970943946550551,-10.603400793320079,0.0,-0.044748747730823366,3.7901455378813043
8.75,-0.7589379388028136,-0.32342671223082337,-7.553048100469388,-0.29936276988888894,-0.037494227401125964,-6.0690432420584095,-0.5987255388032904,0.08317232001337087,-7.649317642747361,-0.09893795018550311,0.3479458875932442,-4.83598707247361,-0.4989379485681927,0.05458990485714285,-8.576678931477831,0.3012744679620887,0.8767115520140747,-10.569169777935258,0.0,-0.036822503508092894,3.9973370165883177
8.752,-0.7559318388167241,-0.33831717023363433,-7.560902115570542,-0.297559132012353,-0.04911751452934537,-5.950812489670993,-0.5951182640502435,0.0679238110332957,-7.8113655951862295,-0.09593186387183751,0.3385026558792325,-4.931631417621332,-0.49593187631001306,0.0378732201010158,-8.710297834076748,0.304881770417508,0.856729476549097,-10.254030653239278,0.0,-0.02883293482167043,4.236727658550226
8.754,-0.7509926973880042,-0.354856290115953,-7.50145107424138,-0.29459560576846644,-0.06202691342023493,-5.948323025951497,-0.5891912125149048,0.05135843762106859,-8.051287660931791,-0.09099268603555608,0.32801328045017053,-4.9927240326741185,-0.4909926773659763,0.019316370339901478,-8.73631150295718,0.3108087634850952,0.8341632945145888,-10.343677394739297,0.0,-0.01995818140507768,4.355717989278135
